start,end
5972439887738,5972440563897
5972440907449,5972441531571
5972441916659,5972442495782
5972442909815,5972443451920
5972443895896,5972444837293
5972444994124,5972445570470
5972445871207,5972446234369
5972446842455,5972447161692
5972447828333,5972448183366
5972448836395,5972449144781
5972449828051,5972450114603
5972450820836,5972451099647
5972451821973,5972452145784
5972452823906,5972453121550
5972453822672,5972454217279
5972454834494,5972455156435
5972455911741,5972456629048
5972456906137,5972457507075
5972457897107,5972458462082
5972458887614,5972459519922
5972459897288,5972460596669
5972460913425,5972461496251
5972461896302,5972462446481
5972462887532,5972463419007
5972463877261,5972464503569
5972464904750,5972465506021
5972465907868,5972466495213
5972466830172,5972467137058
5972467822198,5972468172490
5972468830372,5972469120202
5972469825731,5972470121042
5972470824553,5972471101753
5972471815930,5972472119316
5972472819567,5972473095842
5972473823352,5972474101830
5972474817822,5972475122393
5972475817922,5972476171399
5972476916483,5972477575754
5972477903713,5972478485632
5972478899313,5972479478454
5972479887801,5972480595812
5972480917049,5972481491302
5972481895723,5972482437458
5972482892212,5972483422020
5972483880960,5972484489731
5972484908541,5972485588662
5972485892585,5972486435042
5972486859055,5972487168552
5972487827804,5972488172133
5972488819663,5972489103808
5972489818911,5972490094574
5972490812529,5972491083989
5972491810499,5972492128958
5972492822728,5972493107058
5972493814476,5972494093492
5972494818965,5972495137332
5972495818602,5972496209782
5972496916089,5972497582952
5972497906096,5972498484127
5972498891807,5972499598522
5972499909351,5972500639195
5972500921081,5972501538759
5972501906551,5972502479341
5972502903077,5972503447996
5972503884936,5972504528243
5972504907054,5972505480047
5972505971764,5972506560831
5972506914698,5972507438062
5972507817058,5972508165498
5972508832139,5972509126024
5972509816831,5972510087587
5972510821468,5972511087539
5972511813197,5972512121583
5972512821019,5972513105238
5972513815175,5972514090931
5972514817200,5972515100734
5972515820022,5972516171111
5972516829011,5972517129693
5972517828833,5972518147181
5972518828877,5972519157947
5972519824606,5972520222805
5972520838317,5972521181424
5972521831843,5972522138858
5972522824757,5972523113810
5972523820931,5972524150094
5972524825586,5972525123435
5972525830334,5972526133553
5972526832027,5972527125449
5972527904496,5972528589766
5972528909077,5972529533014
5972529918140,5972530481800
5972530908925,5972531469474
5972531896025,5972532500295
5972532894735,5972533452118
5972533900224,5972534456162
5972534909064,5972535463077
5972535905460,5972536738025
5972536917486,5972537497646
5972537872679,5972538230175
5972538822335,5972539096072
5972539814064,5972540119857
5972540820145,5972541098883
5972541829652,5972542098483
5972542821085,5972543078916
5972543811519,5972544155459
5972544825563,5972545127133
5972545818292,5972546110067
5972546835466,5972547141184
5972547819158,5972548138506
5972548903961,5972549667600
5972549909412,5972550567220
5972550926364,5972551543560
5972551896834,5972552517827
5972552902600,5972553465909
5972553890922,5972554447305
5972554887837,5972555435090
5972555893714,5972556512726
5972556917999,5972557505178
5972557895692,5972558439315
5972558830088,5972559127715
5972559812225,5972560124833
5972560819770,5972561119618
5972561817999,5972562099496
5972562808691,5972563081133
5972563811124,5972564115806
5972564820076,5972565130128
5972565818824,5972566118469
5972566819572,5972567190253
5972567818820,5972568181945
5972568901752,5972569612799
5972569896796,5972570514696
5972570892729,5972571472889
5972571895569,5972572643487
5972572883429,5972573441237
5972573898750,5972574456448
5972574897554,5972575446381
5972575899857,5972576494036
5972576894327,5972577523357
5972577891835,5972578428421
5972578866916,5972579155691
5972579815239,5972580121254
5972580821079,5972581105391
5972581811975,5972582089009
5972582811667,5972583079572
5972583807860,5972584110560
5972584813348,5972585113845
5972585821911,5972586125445
5972586810844,5972587106915
5972587812851,5972588240198
5972588903783,5972589653627
5972589925364,5972590542672
5972590929964,5972591495902
5972591901138,5972592541186
5972592904312,5972593452972
5972593892116,5972594424869
5972594892845,5972595429302
5972595888204,5972596519400
5972596867508,5972597419779
5972597977162,5972598545970
5972598892707,5972599440312
5972599814937,5972600162896
5972600821074,5972601127163
5972601811433,5972602101596
5972602810625,5972603089196
5972603807984,5972604210702
5972604821750,5972605141747
5972605814647,5972606125180
5972606821505,5972607132002
5972607810605,5972608159268
5972608821594,5972609135942
5972609930266,5972610645647
5972610915144,5972611592896
5972611916373,5972612606625
5972612913547,5972613472004
5972613899647,5972614430919
5972614899043,5972615412260
5972615893162,5972616477896
5972616911576,5972617443959
5972617896287,5972618538668
5972618904627,5972619457269
5972619868431,5972620273945
5972620839439,5972621164527
5972621826575,5972622130239
5972622828546,5972623127338
5972623818016,5972624145938
5972624837004,5972625173963
5972625837622,5972626164471
5972626823482,5972627112701
5972627821618,5972628212170
5972628832477,5972629144326
5972629906076,5972630492699
